Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
12:20.7,-0.988007218,2.934493168,0.712674028,-0.384223919,-0.577608142,0.295165394,7.963333333
12:20.7,-1.991975781,5.884149613,1.362300745,-0.829516539,-1.496183206,0.470737913,15.92666667
12:20.8,-2.980781067,8.844180933,2.023100403,-0.944020356,-2.760814249,0.559796438,23.91
12:20.8,-2.936089303,8.836998328,1.996764185,-0.928753181,-3.351145038,-0.007633588,23.93
12:20.8,-2.860272917,8.822633118,2.094926453,-0.900763359,-4.600508906,-0.297709924,23.94333333
12:20.9,-2.781264262,8.80188337,2.149195024,-1.399491094,-4.055979644,-0.402035623,23.93666667
12:20.9,-2.792437203,8.829017655,2.137224015,-1.875318066,-2.521628499,-0.216284987,23.93666667
12:21.0,-2.85069611,8.896055302,2.075772839,-2.043256997,-0.740458015,-0.134860051,23.94333333
12:21.0,-2.861070984,8.88807463,2.069388302,-2.231552163,-0.58778626,-0.086513995,23.95
12:21.1,-2.845907707,8.880093958,2.119666536,-2.020356234,-0.699745547,0.038167939,23.94333333
12:21.1,-2.83074443,8.821036983,2.165954435,-2.259541985,0.06870229,0.720101781,23.93666667
12:21.2,-2.887407202,8.833007992,2.149993091,-1.882951654,0.223918575,0.959287532,23.93
12:21.2,-2.910551152,8.814652445,2.18750225,-2.1043257,0.312977099,0.842239186,23.93
12:21.2,-2.833138631,8.770758748,2.102907125,-2.386768448,1.305343511,-0.150127226,23.93666667
12:21.3,-2.699861405,8.844979,2.087743848,-1.320610687,4.366412214,0.318066158,23.94333333
12:21.3,-2.724601489,8.846575134,2.265712838,2.040712468,7.633587786,4.407124682,23.94333333
12:21.4,-3.019886361,8.71569211,2.381432585,4.488549618,4.117048346,7.165394402,23.93666667
12:21.4,-3.223393502,8.794700765,2.312798804,3.55216285,-4.185750636,6.575063613,23.93
12:21.5,-3.133211906,8.875305554,1.928928471,2.491094148,-9.600508906,3.608142494,23.93
12:21.5,-2.87942653,8.943939335,1.840343009,1.371501272,-6.623409669,0.857506361,23.93
12:21.6,-2.781264262,8.779537488,1.824381665,1.521628499,-3.089058524,0.229007634,23.93666667
12:21.6,-2.731784094,8.792306563,1.896207715,0.432569975,-4.229007634,-0.776081425,23.94333333
12:21.6,-2.56658418,8.980650427,1.948880151,-0.330788804,-4.353689567,-0.702290076,23.93
12:21.7,-2.558603507,9.052476477,2.113281999,-0.582697201,-0.460559796,-0.157760814,23.91
12:21.7,-2.699861405,8.90802631,2.174733175,-1.712468193,1.03562341,-0.391857506,23.91
12:21.8,-2.825956026,8.95112194,1.996764185,-2.178117048,-1.508905852,-0.368956743,23.93
12:21.8,-2.770889388,8.848969336,1.938505278,-1.753180662,-2.109414758,0.941475827,23.95
12:21.9,-2.775677791,8.88807463,2.00394679,-1.017811705,0.165394402,2.307888041,23.95
12:21.9,-2.936089303,8.742028328,2.177925444,-0.661577608,0.463104326,3.743002545,23.95
12:21.9,-2.988761739,8.867324882,2.136425948,-0.798982188,-1.994910941,2.251908397,23.95
12:22.0,-2.928906698,8.958304545,2.016715865,-1.155216285,-3.315521628,0.508905852,23.95
12:22.0,-2.765302917,8.993419503,1.871467631,-0.809160305,-2.786259542,-1.058524173,23.94333333
12:22.1,-2.723803422,9.039707402,1.853910152,-1.027989822,-2.849872774,-1.055979644,23.93666667
12:22.1,-2.631227625,9.036515133,1.844333346,-1.229007634,-1.106870229,-1.160305344,23.93
12:22.2,-2.670332918,9.054072611,1.883438639,-0.946564885,1.908396947,-0.872773537,23.93
12:22.2,-2.843513505,8.914410848,1.916159395,-1.122137405,4.58778626,-0.544529262,23.93666667
12:22.3,-3.001530815,8.774749084,1.921745866,-1.178117048,0.340966921,0.989821883,23.94333333
12:22.3,-2.991954008,8.792306563,2.043052083,-1.715012723,-1.941475827,0.376590331,23.95
12:22.3,-2.910551152,8.824229252,1.987985445,-2.506361323,-2.75826972,-0.681933842,23.94333333
12:22.4,-2.781264262,8.993419503,2.011927462,-2.470737913,1.157760814,-5.012722646,23.93666667
12:22.4,-2.799619808,8.972669755,1.956062756,-1.328244275,-3.430025445,-2.328244275,23.93
12:22.5,-2.784456531,9.043697738,1.991975781,-0.399491094,-7.305343511,-0.956743003,23.93
12:22.5,-2.610477877,9.001400175,1.996764185,-0.951653944,-7.040712468,2.030534351,23.93
12:22.6,-2.601699137,8.797094967,1.885034774,-2.419847328,-3.837150127,3.24173028,23.93
12:22.6,-2.549824768,8.800287236,1.837150741,-2.167938931,-3.786259542,5.089058524,23.93
12:22.6,-2.770091321,8.809864042,1.93770721,-1.51653944,-6.638676845,8.435114504,23.93
12:22.7,-2.824359892,9.006986646,2.07258057,-2.005089059,-3.348600509,4.603053435,23.93666667
12:22.7,-2.754129976,8.912016646,2.117272335,-3.211195929,5.083969466,1.089058524,23.94333333
12:22.8,-2.906560815,8.919199251,2.03826368,-2.834605598,8.340966921,-1.669211196,23.95
12:22.8,-2.704649809,8.848171269,2.149993091,-1.96437659,13.18320611,-3.809160305,23.94333333
12:22.9,-3.190672746,9.056466813,2.116474268,-1.409669211,5.618320611,-2.954198473,23.93666667
12:22.9,-3.161144259,8.799489168,2.037465613,-2.519083969,-1.755725191,-2.857506361,23.93
12:23.0,-3.131615771,8.886478495,1.805228052,-2.745547074,-14.25699746,0.809160305,23.93
12:23.0,-2.771687455,8.835402193,1.844333346,-2.707379135,-12.56234097,3.605597964,23.93666667
12:23.0,-2.6926788,8.880093958,1.970427966,-1.641221374,-2.977099237,6.328244275,23.94333333
12:23.1,-2.833138631,9.000602108,2.15877183,-4.13740458,5.050890585,9.600508906,23.94333333
12:23.1,-2.748543506,8.83061379,2.08694578,-5.007633588,8.096692112,6.31043257,23.93666667
12:23.2,-2.560997709,8.848969336,2.068590234,-4.17302799,9.063613232,1.157760814,23.93
12:23.2,-2.531469222,8.694942362,2.0669941,-1.256997455,12.65394402,-3.651399491,23.93
12:23.3,-2.612872078,8.682173287,2.160367965,0.72519084,16.27480916,-5.625954198,23.93
12:23.3,-2.771687455,8.907228243,2.122858805,0.513994911,18.80152672,-6.117048346,23.93
12:23.3,-3.019088293,8.827421521,1.912169059,0.531806616,20.90839695,-7.221374046,23.93
12:23.4,-3.085327873,8.732451522,1.852314018,0.539440204,21.87022901,-6.687022901,23.93
12:23.4,-3.402160559,8.646260262,1.720632926,-1.099236641,19.07888041,-5.814249364,23.93
12:23.4,-3.296017619,8.660625472,1.770113094,-2.338422392,16.8524173,-6.175572519,23.93
12:23.5,-3.355074593,8.83620026,1.740584607,-4.676844784,14.6692112,-6.788804071,23.91666667
12:23.5,-3.275267871,8.814652445,1.798843514,-3.493638677,13.14249364,-9.65394402,23.90333333
12:23.5,-3.301604089,8.876901689,1.796449312,-3.117048346,8.745547074,-9.066157761,23.89
12:23.6,-3.29282535,8.639077657,1.67354696,-3.055979644,6.229007634,-5.989821883,23.90333333
12:23.6,-3.334324845,8.71569211,1.644816541,-4.178117048,4.417302799,-1.776081425,23.91666667
12:23.7,-3.307988627,8.666211943,1.584961499,-4.547073791,7.267175573,0.407124682,23.93
12:23.7,-3.337517114,8.920795386,1.733402002,-3.910941476,9.770992366,3.374045802,23.93666667
12:23.7,-3.401362492,8.450733793,1.602518978,-3.432569975,8.195928753,3.463104326,23.94333333
12:23.8,-3.406150895,8.411628499,1.565009819,-1.913486005,5.124681934,0.595419847,23.94333333
12:23.8,-3.394977954,8.545703792,1.557029146,-1.045801527,3.946564885,-4.798982188,23.93666667
12:23.9,-3.517880306,8.699730766,1.562615617,-2.338422392,3.386768448,-4.941475827,23.93
12:23.9,-2.208251998,9.687737984,2.371855778,-3.666666667,-2.402035623,2.72519084,23.93
12:24.0,-1.434924862,9.177773031,2.390211324,2.147582697,-14.44274809,19.25954198,23.93
12:24.0,-1.129265116,9.959080839,2.920127958,5.592875318,-26.19083969,30.10687023,23.93666667
12:24.0,-2.737370565,9.491413448,2.464431576,7.264631043,-38.0178117,27.2264631,23.94333333
12:24.1,-3.237758712,9.611921598,2.526680819,-0.061068702,-37.53689567,7.203562341,23.95
12:24.1,-2.767697119,8.955910343,2.134829814,-2.236641221,-22.63104326,-7.770992366,23.95
12:24.2,-2.608083675,8.520165641,1.923342,-2.208651399,-3.213740458,-11.25445293,23.94333333
12:24.2,-3.167528796,8.7013269,1.94648595,0.022900763,-0.376590331,-3.709923664,23.93666667
12:24.3,-2.940877706,8.705317236,2.13004141,-1.323155216,-4.590330789,-3.254452926,23.93666667
12:24.3,-2.688688464,8.802681437,2.047840487,-2.944020356,-9.513994911,-3.246819338,23.94333333
12:24.4,-2.13882015,8.764374211,2.043850151,-3.816793893,-4.618320611,-5.030534351,23.94333333
12:24.4,-2.802812077,8.876901689,1.939303345,-2.045801527,-4.877862595,-1.073791349,23.93666667
12:24.4,-2.947262244,8.851363538,2.130839478,-1.045801527,-5.821882952,-0.076335878,23.93666667
12:24.5,-3.041434176,8.891266899,2.181117712,-0.882951654,-7.860050891,0.020356234,23.94333333
12:24.5,-2.96561779,8.87370942,2.287260653,-0.96692112,-8.422391858,-0.208651399,23.95
12:24.6,-2.820369556,8.75320127,2.308808468,-1.208651399,-9.753180662,-0.636132316,23.95
12:24.6,-2.788446867,8.726865051,2.276087712,-1.246819338,-9.839694656,-1.442748092,23.95
12:24.7,-2.740562834,8.748412866,2.211444267,-1.139949109,-8.854961832,-1.37913486,23.95
12:24.7,-2.837128967,8.823431185,2.146800822,-1.569974555,-8.582697201,-2.106870229,23.95
12:24.8,-2.991954008,8.869719084,2.201069393,-2.559796438,-13.38167939,-2.979643766,23.93
12:24.8,-3.130019637,8.848171269,2.321577543,-4.290076336,-21.92366412,-5.366412214,23.91
12:24.8,-3.097298881,8.789912362,2.499546533,-5.226463104,-28.69720102,-6.82697201,23.90333333
12:24.9,-2.94247384,8.709307572,2.556209306,-4.8956743,-28.20610687,-7.396946565,23.91666667
12:24.9,-2.868253589,8.667808077,2.61526628,-4.129770992,-22.98473282,-6.302798982,23.93666667
12:25.0,-2.810792749,8.632693119,2.5953146,-3.106870229,-17.94147583,-5.305343511,23.94333333
12:25.0,-2.75891838,8.649452531,2.634419893,-2.750636132,-13.96437659,-4.063613232,23.95666667
12:25.1,-2.703851742,8.664615808,2.655967708,-2.422391858,-9.918575064,-3.254452926,23.96333333
12:25.1,-2.755726111,8.662221606,2.72140922,-2.450381679,-7.41221374,-2.211195929,23.95666667
12:25.2,-2.822763757,8.62391438,2.842715438,-2.697201018,-9.1043257,-1.776081425,23.94333333
12:25.2,-2.989559806,8.619125977,3.002328882,-3.076335878,-16.89312977,-2.236641221,23.93
12:25.3,-2.998338546,8.588799422,3.093308545,-3.027989822,-24.84223919,-1.768447837,23.93666667
12:25.3,-2.964021655,8.542511523,3.138000309,-3.106870229,-28.50890585,-2.875318066,23.94333333
12:25.3,-2.745351237,8.512184969,3.118048629,-3.096692112,-25.63867684,-3.330788804,23.95
12:25.4,-2.65836191,8.529742448,3.108471822,-3.155216285,-20.18066158,-4.814249364,23.95
12:25.4,-2.643198633,8.525752112,3.15795199,-2.982188295,-18.28498728,-4.938931298,23.95
12:25.5,-2.569776449,8.497819759,3.238556779,-2.557251908,-17.39949109,-4.119592875,23.95
12:25.5,-2.489171659,8.449935726,3.372632072,-2.394402036,-13.956743,-3.592875318,23.95666667
12:25.6,-2.525882751,8.501810095,3.452438794,-2.374045802,-9.524173028,-3.396946565,23.96333333
12:25.6,-2.593718465,8.520963708,3.498726693,-2.290076336,-5.664122137,-3.335877863,23.95666667
12:25.6,-2.677515523,8.611943372,3.493938289,-2.608142494,-1.468193384,-3.160305344,23.94333333
12:25.7,-2.742158968,8.560069002,3.464409802,-2.956743003,-2.648854962,-3.083969466,23.93
12:25.8,-2.790841069,8.59518396,3.426102576,-3.562340967,-8.44783715,-3.753180662,23.93
12:25.8,-2.673525187,8.467493205,3.39896829,-4.936386768,-14.34605598,-4.445292621,23.93
12:25.9,-2.603295272,8.443551188,3.438871651,-6.34605598,-12.35368957,-4.315521628,23.93
12:25.9,-2.560199642,8.335812113,3.535437785,-7.572519084,-6.837150127,-4.071246819,23.93666667
12:26.0,-2.776475859,8.254409257,3.707820304,-7.58524173,-3.091603053,-4.402035623,23.94333333
12:26.0,-2.874638127,8.165025728,3.828328455,-6.918575064,-3.010178117,-4.974554707,23.93
12:26.1,-3.042232243,8.060478923,3.832318791,-5.727735369,-3.320610687,-5.625954198,23.91
12:26.1,-2.918531824,8.054094385,3.820347782,-3.992366412,-4.315521628,-4.671755725,23.91666667
12:26.1,-2.820369556,8.053296318,3.801992236,-2.715012723,-5.368956743,-3.842239186,23.94333333
12:26.2,-2.559401575,8.08122867,3.813165177,-1.755725191,-2.575063613,-1.745547074,23.95666667
12:26.2,-2.760514514,8.129910771,3.818751648,-1.534351145,-1.717557252,-1.424936387,23.94333333
12:26.3,-2.695871069,8.13868951,3.839501396,-1.486005089,0.709923664,0.012722646,23.93
12:26.3,-2.882618799,8.125122367,3.905740975,-1.511450382,0.977099237,0.170483461,23.93
12:26.4,-2.784456531,8.144275981,3.934471395,-1.295165394,3.203562341,1.842239186,23.93
12:26.4,-3.084529806,8.155448922,3.937663664,-0.933842239,2.475826972,1.977099237,23.93
12:26.5,-3.102885352,8.203332955,3.922500387,-0.631043257,-1.249363868,2.264631043,23.93
12:26.5,-3.102885352,8.128314636,3.91851005,0.259541985,-1.959287532,1.122137405,23.93666667
12:26.5,-2.907358883,8.157045056,3.899356437,0.608142494,-1.661577608,1.045801527,23.94333333
12:26.6,-3.047020646,8.133901107,3.843491732,1.025445293,-1.323155216,0.613231552,23.95
12:26.6,-3.061385856,8.312668164,3.774059884,0.34351145,-3.511450382,1.167938931,23.95
12:26.7,-3.016694092,8.229669173,3.741339128,-0.27735369,-3.089058524,-0.096692112,23.95
12:26.7,-2.804408211,8.220890434,3.74054106,-0.478371501,-1.427480916,0.201017812,23.95
12:26.8,-2.7876488,8.094795813,3.758098539,-0.427480916,-0.580152672,-0.366412214,23.95
12:26.8,-2.832340564,8.173804468,3.765281144,0.010178117,-1.659033079,0.142493639,23.95
12:26.8,-2.872243925,8.240842114,3.808376774,-0.256997455,-0.877862595,0.099236641,23.95
12:26.9,-2.932098966,8.224082703,3.822741984,-0.796437659,-0.236641221,0.06870229,23.94333333
12:26.9,-2.983973336,8.232861442,3.818751648,-1.231552163,-0.20610687,0.470737913,23.93666667
12:27.0,-2.997540479,8.186573543,3.777252153,-1.72519084,-0.600508906,0.368956743,23.93666667
12:27.0,-2.945666109,8.198544552,3.801992236,-1.768447837,-1.590330789,0.524173028,23.94333333
12:27.1,-2.937685437,8.170612199,3.852270471,-1.969465649,-1.432569975,-0.295165394,23.95
12:27.1,-2.940079639,8.19615035,3.828328455,-1.877862595,-2.547073791,-0.44783715,23.95
12:27.1,-2.93688737,8.207323291,3.842693665,-1.681933842,-2.839694656,-0.13740458,23.95
