Time,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-Z,Ambient Temp
17:04.7,0,0,0,1.099236641,5.129770992,57.86259542,23.09
17:04.8,-7.599196069,1.881842505,5.415684155,-2.259541985,-0.114503817,3.717557252,23.09
17:04.9,-7.146691956,2.50912334,4.7596729,0.519083969,1.534351145,-1.801526718,23.11
17:05.1,-7.144297754,2.087743848,5.322310291,-1.72519084,-0.900763359,2.801526718,23.07
17:05.2,-8.334215979,2.135627881,5.202600208,-1.633587786,-4.877862595,0.709923664,23.09
17:05.3,-6.766013892,2.039859814,5.07570752,-2.885496183,0.977099237,4.450381679,23.07
17:05.5,-7.007828259,2.104503259,4.848258362,-3.030534351,2.748091603,2.152671756,23.11
17:05.6,-9.538499414,1.71664259,4.525041138,5.374045802,0.732824427,-9.832061069,23.11
17:05.7,-7.105990527,2.578555188,5.298368274,2.671755725,-6.167938931,-12.44274809,23.13
17:05.9,-7.651868506,2.468421912,5.027823486,-1.519083969,-7.167938931,-6.618320611,23.09
17:06.0,-7.951143713,2.513911743,5.097255334,9.893129771,-4.984732824,0.740458015,23.11
17:06.1,-7.661445313,2.592920398,4.999093066,12.65648855,-13.00763359,-8.786259542,23.07
17:06.3,-7.467514978,2.487575525,4.948814832,14.67175573,-2.450381679,-6.129770992,23.13
17:06.4,-7.259219434,2.521094348,5.257666846,11.1221374,-4.541984733,-2.786259542,23.11
17:06.5,-7.043741284,3.110067957,5.233724829,9.34351145,14.98473282,-14.47328244,23.07
17:06.6,-8.401253625,2.454056702,5.669469531,-0.900763359,-1.41221374,-14.64122137,23.11
17:06.8,-8.298302954,1.766920825,4.319139795,-5.748091603,16.77099237,-5.877862595,23.09
17:06.9,-8.298302954,2.248155359,5.894524487,0.671755725,-19.97709924,3.679389313,23.11
17:07.0,-6.344634399,1.455674609,5.935225916,-3.167938931,8.633587786,-15,23.13
17:07.2,-8.583212952,2.276885779,5.746083984,10.65648855,-50.53435115,1.106870229,23.09
17:07.3,-4.683058447,1.790862842,7.132326746,4.641221374,-42.16030534,21.38931298,23.13
17:07.4,-5.578489868,2.743755103,7.122749939,2.58778626,-4.984732824,5.480916031,23.11
17:07.6,19.61270145,-1.841141077,9.624690674,13.50381679,-24.42748092,-52.96946565,23.09
17:07.7,-4.36941803,1.379060156,6.962338428,-0.503816794,4.236641221,29.91603053,23.11
17:07.8,-4.97515105,1.83156427,7.532158423,17.54961832,-36.41984733,21.9389313,23.09
17:08.0,-4.953603235,1.790862842,7.48427439,5.748091603,-17.42748092,11.52671756,23.09
17:08.1,-8.250418921,1.987187378,7.18260498,6.213740458,-14.94656489,10.11450382,23.09
17:08.2,-5.058948108,1.570596289,6.933608008,23.59541985,-12.94656489,4.93129771,23.11
17:08.4,-5.130774158,2.348711829,6.344634399,37.82442748,78.54198473,1.816793893,23.13
17:08.5,-7.38371792,4.053383411,7.532158423,30.58015267,16.54961832,12.57251908,23.13
17:08.6,-6.80671532,3.852270471,5.758054993,8.20610687,-17.77099237,27.01526718,23.11
17:08.8,-6.102820032,3.560177869,4.548983154,20.46564885,-18.96946565,20.22137405,23.11
17:08.9,-5.63834491,4.637568616,5.216965417,21.66412214,-18.36641221,28.96183206,23.11
17:09.0,-5.185840796,5.513846423,5.99986936,19.17557252,-12.54198473,25.96946565,23.11
17:09.1,-4.414907861,5.240907434,5.442020374,26.95419847,-40.88549618,6.007633588,23.11
17:09.2,-3.050212915,5.868188269,5.6239797,41.16030534,-11.11450382,-11.01526718,23.09
